dataset,model,precision,recall,f1,pr_auc,precision_at_recall
UCI SMS,BERT Base,0.9736842105263158,0.9932885906040269,0.9833887043189368,0.9967415452494384,1.0
UCI SMS,DistilBERT,0.9797297297297296,0.9731543624161074,0.9764309764309764,0.9945371855008666,1.0
UCI SMS,XLM-RoBERTa,0.993006993006993,0.953020134228188,0.9726027397260272,0.997461416466293,0.993103448275862
UCI SMS,TF-IDF + SVM,0.979591836734694,0.9664429530201344,0.9729729729729728,0.9935704464400616,1.0
UCI SMS,fastText,0.9859154929577464,0.9395973154362416,0.9621993127147764,0.9867358269657244,0.9863013698630136
Turkish SMS,BERT Base,1.0,0.9822485207100592,0.9910447761194028,0.999602736372702,1.0
Turkish SMS,DistilBERT,1.0,0.9842209072978304,0.992047713717694,0.9998193603006486,1.0
Turkish SMS,XLM-RoBERTa,1.0,0.9940828402366864,0.9970326409495548,0.9999922423264708,1.0
Turkish SMS,TF-IDF + SVM,1.0,0.9980276134122288,0.9990128331688056,1.0,1.0
Turkish SMS,fastText,0.9960629921259844,0.9980276134122288,0.9970443349753696,0.99997665791951,1.0
YouTube Spam,BERT Base,0.9751243781094528,0.9751243781094528,0.9751243781094528,0.9971609350445084,1.0
YouTube Spam,DistilBERT,0.9897959183673468,0.965174129353234,0.9773299748110832,0.9976536041752486,1.0
YouTube Spam,XLM-RoBERTa,0.9896907216494846,0.9552238805970148,0.9721518987341772,0.9968452828430824,1.0
YouTube Spam,TF-IDF + SVM,0.9744897959183674,0.9502487562189056,0.9622166246851384,0.995715623925575,0.9947089947089948
YouTube Spam,fastText,0.9695431472081218,0.9502487562189056,0.9597989949748744,0.9922408700878964,0.9945652173913044
Enron Spam,BERT Base,0.9950277859023108,0.9906814210832848,0.992849846782431,0.9998212570060006,1.0
Enron Spam,DistilBERT,0.9867549668874172,0.9979615608619684,0.9923266251628784,0.9997101667995262,0.9996816300541228
Enron Spam,XLM-RoBERTa,0.9850488786659,0.9976703552708212,0.9913194444444445,0.9985010632145825,0.999083409715857
Enron Spam,TF-IDF + SVM,0.9901591895803183,0.9962143273150844,0.9931775293946871,0.999502298438299,0.9996790757381258
Enron Spam,fastText,0.9730272596843615,0.987478159580664,0.9801994507876861,0.9949364793911494,0.9916826615483045
