source_dataset,target_dataset,model,precision,recall,f1,pr_auc,precision_at_recall
UCI SMS,Turkish SMS,BERT Base,0.9976470588235294,0.8362919132149902,0.9098712446351931,0.9806541547788036,0.9744136460554371
UCI SMS,YouTube Spam,BERT Base,0.8461538461538461,0.38308457711442784,0.5273972602739726,0.7984433563717125,0.5246376811594203
UCI SMS,Enron Spam,BERT Base,0.49169271261720676,0.8704135119394293,0.6284032376747609,0.44649894315422145,0.5092688714222157
UCI SMS,Turkish SMS,DistilBERT,0.9968944099378882,0.6331360946745562,0.7744270205066346,0.9757114784642218,0.9215291750503019
UCI SMS,YouTube Spam,DistilBERT,0.8556701030927835,0.4129353233830846,0.5570469798657719,0.7651955100970681,0.5501519756838906
UCI SMS,Enron Spam,DistilBERT,0.5077888863055103,0.6359930110658125,0.5647058823529413,0.5781121017018913,0.5092688714222157
UCI SMS,Turkish SMS,XLM-RoBERTa,1.0,0.7613412228796844,0.864501679731243,0.9961121199818669,0.9937759336099585
UCI SMS,YouTube Spam,XLM-RoBERTa,0.8928571428571429,0.24875621890547264,0.38910505836575876,0.8199215961972645,0.5973597359735974
UCI SMS,Enron Spam,XLM-RoBERTa,0.5753846153846154,0.21782178217821782,0.31601182931981414,0.5513400910415938,0.5180157533098709
UCI SMS,Turkish SMS,TF-IDF + SVM,1.0,0.5128205128205128,0.6779661016949152,0.9850113587321055,0.9560669456066946
UCI SMS,YouTube Spam,TF-IDF + SVM,0.9642857142857143,0.26865671641791045,0.4202334630350194,0.8480769557062253,0.7142857142857143
UCI SMS,Enron Spam,TF-IDF + SVM,0.4920289855072464,0.593185789167152,0.5378927911275415,0.521090749027525,0.5096629213483146
UCI SMS,Turkish SMS,fastText,1.0,0.08284023668639054,0.15300546448087432,0.9954919517390899,0.9808102345415778
UCI SMS,YouTube Spam,fastText,0.9333333333333333,0.13930348258706468,0.24242424242424243,0.8540199742957024,0.7098039215686275
UCI SMS,Enron Spam,fastText,0.35047846889952156,0.08532323820617356,0.13723653395784544,0.4660274447109018,0.5094198564593302
Turkish SMS,UCI SMS,BERT Base,0.4591194968553459,0.9798657718120806,0.6252676659528907,0.9626723476658098,0.9246575342465754
Turkish SMS,YouTube Spam,BERT Base,0.7608695652173914,0.6965174129353234,0.7272727272727272,0.8012803345286523,0.5764331210191083
Turkish SMS,Enron Spam,BERT Base,0.504052607432329,0.9598136284216657,0.6609846585781609,0.48497513126549974,0.5092688714222157
Turkish SMS,UCI SMS,DistilBERT,0.38258575197889183,0.9731543624161074,0.5492424242424243,0.9327625663199365,0.7988165680473372
Turkish SMS,YouTube Spam,DistilBERT,0.6982248520710059,0.5870646766169154,0.6378378378378378,0.7555645514990255,0.562111801242236
Turkish SMS,Enron Spam,DistilBERT,0.5066808381415123,0.971753057658707,0.6660678642714571,0.6045390279245085,0.5136884021901443
Turkish SMS,UCI SMS,XLM-RoBERTa,0.8461538461538461,0.959731543624161,0.8993710691823898,0.8236504924756592,0.8782051282051282
Turkish SMS,YouTube Spam,XLM-RoBERTa,0.9558823529411765,0.32338308457711445,0.483271375464684,0.8029996075766341,0.5603715170278638
Turkish SMS,Enron Spam,XLM-RoBERTa,0.5820197044334975,0.6881188118811881,0.6306378436082198,0.6152287494214369,0.5221641665262093
Turkish SMS,UCI SMS,TF-IDF + SVM,0.47719298245614034,0.912751677852349,0.6267281105990783,0.768496498002273,0.5555555555555556
Turkish SMS,YouTube Spam,TF-IDF + SVM,0.8484848484848485,0.417910447761194,0.5599999999999999,0.7615568205953166,0.5878594249201278
Turkish SMS,Enron Spam,TF-IDF + SVM,0.5028708133971291,0.9181712288875946,0.6498351195383347,0.6129229512781822,0.5092688714222157
Turkish SMS,UCI SMS,fastText,0.6808510638297872,0.21476510067114093,0.32653061224489793,0.6237850137358845,0.4560810810810811
Turkish SMS,YouTube Spam,fastText,0.9333333333333333,0.27860696517412936,0.42911877394636017,0.782322086682523,0.6453900709219859
Turkish SMS,Enron Spam,fastText,0.47172751558325915,0.6170646476412347,0.5346959374211455,0.4460571330833619,0.5092688714222157
YouTube Spam,UCI SMS,BERT Base,0.3402777777777778,0.9865771812080537,0.5060240963855421,0.8378479943765984,0.6388888888888888
YouTube Spam,Turkish SMS,BERT Base,0.9394572025052192,0.8875739644970414,0.9127789046653143,0.9813657628953819,0.9346938775510204
YouTube Spam,Enron Spam,BERT Base,0.5041743970315399,0.9496214327315085,0.6586548172086446,0.7267902592749631,0.5144422310756972
YouTube Spam,UCI SMS,DistilBERT,0.48,0.9664429530201343,0.6414253897550112,0.9175295156662766,0.7941176470588235
YouTube Spam,Turkish SMS,DistilBERT,0.899641577060932,0.9901380670611439,0.9427230046948356,0.9912520340089891,0.9766454352441614
YouTube Spam,Enron Spam,DistilBERT,0.5032337542346782,0.9516598718695399,0.6583400483481064,0.7657874340486339,0.5093444081874815
YouTube Spam,UCI SMS,XLM-RoBERTa,0.6529680365296804,0.959731543624161,0.7771739130434782,0.8566157374036647,0.75
YouTube Spam,Turkish SMS,XLM-RoBERTa,0.9842342342342343,0.8619329388560157,0.9190325972660357,0.9943993907222186,0.9808917197452229
YouTube Spam,Enron Spam,XLM-RoBERTa,0.503448275862069,0.8503203261502621,0.6324453108078839,0.6114346627926089,0.5110214219186588
YouTube Spam,UCI SMS,TF-IDF + SVM,0.3422982885085575,0.9395973154362416,0.5017921146953406,0.6700729143588114,0.3685636856368564
YouTube Spam,Turkish SMS,TF-IDF + SVM,0.9079497907949791,0.8560157790927022,0.8812182741116752,0.9569871512479313,0.8891050583657587
YouTube Spam,Enron Spam,TF-IDF + SVM,0.5025922537358951,0.9598136284216657,0.6597277822257807,0.6336040420424831,0.510813934290903
YouTube Spam,UCI SMS,fastText,0.30327868852459017,0.7449664429530202,0.4310679611650486,0.3162601294068119,0.27835051546391754
YouTube Spam,Turkish SMS,fastText,0.9957446808510638,0.46153846153846156,0.6307277628032345,0.9865457892209583,0.9625
YouTube Spam,Enron Spam,fastText,0.5079111395237335,0.9254513686662784,0.655866267671035,0.580366751894877,0.5093444081874815
Enron Spam,UCI SMS,BERT Base,0.17419354838709677,0.9060402684563759,0.2922077922077922,0.4259056226643634,0.17509727626459143
Enron Spam,Turkish SMS,BERT Base,0.5362473347547975,0.9921104536489151,0.6961937716262976,0.8560770496705771,0.614247311827957
Enron Spam,YouTube Spam,BERT Base,0.5555555555555556,0.945273631840796,0.6998158379373849,0.6682145086069009,0.5993377483443708
Enron Spam,UCI SMS,DistilBERT,0.16279069767441862,0.9865771812080537,0.279467680608365,0.7093253652634675,0.2682445759368836
Enron Spam,Turkish SMS,DistilBERT,0.5336842105263158,1.0,0.6959505833905285,0.9443281283296411,0.8901734104046243
Enron Spam,YouTube Spam,DistilBERT,0.5267605633802817,0.9303482587064676,0.6726618705035972,0.7100338800458855,0.5364431486880467
Enron Spam,UCI SMS,XLM-RoBERTa,0.17883211678832117,0.9865771812080537,0.30278063851699283,0.47852992366561026,0.2795031055900621
Enron Spam,Turkish SMS,XLM-RoBERTa,0.569023569023569,1.0,0.7253218884120172,0.8390603618889608,0.7052469135802469
