dataset,model,training_size,accuracy
UCI SMS,BERT Base,50,0.8662477558348295
UCI SMS,BERT Base,100,0.8662477558348295
UCI SMS,BERT Base,500,0.9901256732495511
UCI SMS,BERT Base,1000,0.9937163375224417
UCI SMS,BERT Base,2000,0.9937163375224417
UCI SMS,DistilBERT,50,0.8662477558348295
UCI SMS,DistilBERT,100,0.8662477558348295
UCI SMS,DistilBERT,500,0.9793536804308797
UCI SMS,DistilBERT,1000,0.9883303411131059
UCI SMS,DistilBERT,2000,0.9793536804308797
UCI SMS,XLM-RoBERTa,50,0.8662477558348295
UCI SMS,XLM-RoBERTa,100,0.8707360861759426
UCI SMS,XLM-RoBERTa,500,0.9892280071813285
UCI SMS,XLM-RoBERTa,1000,0.9883303411131059
UCI SMS,XLM-RoBERTa,2000,0.992818671454219
UCI SMS,TF-IDF + SVM,50,0.9470377019748654
UCI SMS,TF-IDF + SVM,100,0.9515260323159784
UCI SMS,TF-IDF + SVM,500,0.9829443447037702
UCI SMS,TF-IDF + SVM,1000,0.9910233393177738
UCI SMS,TF-IDF + SVM,2000,0.9910233393177738
UCI SMS,fastText,50,0.37073608617594256
UCI SMS,fastText,100,0.8689407540394973
UCI SMS,fastText,500,0.8662477558348295
UCI SMS,fastText,1000,0.9174147217235189
UCI SMS,fastText,2000,0.9757630161579892
